,ROI,Networks,t-value mean
0,7Networks_LH_Vis_1,VIS,0.36600968553550045
1,7Networks_LH_Vis_2,VIS,0.7951596426935891
2,7Networks_LH_Vis_3,VIS,0.9064640629125914
3,7Networks_LH_Vis_4,VIS,1.4932955497282392
4,7Networks_LH_Vis_5,VIS,0.9420928435582524
5,7Networks_LH_Vis_6,VIS,1.3240962659360827
6,7Networks_LH_Vis_7,VIS,1.1629904468414674
7,7Networks_LH_Vis_8,VIS,1.1161906824822978
8,7Networks_LH_Vis_9,VIS,1.0873438374048454
9,7Networks_LH_Vis_10,VIS,0.7454752168182683
10,7Networks_LH_Vis_11,VIS,0.6440033298916512
11,7Networks_LH_Vis_12,VIS,-0.4079885791639045
12,7Networks_LH_Vis_13,VIS,0.49065253163474154
13,7Networks_LH_Vis_14,VIS,0.2852671347621723
14,7Networks_LH_SomMot_1,SOM,0.5772769686095695
15,7Networks_LH_SomMot_2,SOM,0.6706340899465005
16,7Networks_LH_SomMot_3,SOM,1.249553038197788
17,7Networks_LH_SomMot_4,SOM,0.617685630512455
18,7Networks_LH_SomMot_5,SOM,0.8044733607199454
19,7Networks_LH_SomMot_6,SOM,-0.6859099420306232
20,7Networks_LH_SomMot_7,SOM,-0.051237512493663866
21,7Networks_LH_SomMot_8,SOM,-0.25529567353662985
22,7Networks_LH_SomMot_9,SOM,0.4002209325476377
23,7Networks_LH_SomMot_10,SOM,1.0565902470508732
24,7Networks_LH_SomMot_11,SOM,0.286279840753734
25,7Networks_LH_SomMot_12,SOM,1.0563915331051297
26,7Networks_LH_SomMot_13,SOM,-0.6797121360115242
27,7Networks_LH_SomMot_14,SOM,-0.17048098936753084
28,7Networks_LH_SomMot_15,SOM,0.5790116602098473
29,7Networks_LH_SomMot_16,SOM,0.9400305419444507
30,7Networks_LH_DorsAttn_Post_1,DAN,0.429157444787736
31,7Networks_LH_DorsAttn_Post_2,DAN,0.27538709682684503
32,7Networks_LH_DorsAttn_Post_3,DAN,0.518607332646436
33,7Networks_LH_DorsAttn_Post_4,DAN,0.8646311419183548
34,7Networks_LH_DorsAttn_Post_5,DAN,0.685012307010021
35,7Networks_LH_DorsAttn_Post_6,DAN,0.931928374467309
36,7Networks_LH_DorsAttn_Post_7,DAN,0.6818212197214799
37,7Networks_LH_DorsAttn_Post_8,DAN,0.906714564405373
38,7Networks_LH_DorsAttn_Post_9,DAN,0.16488784590769642
39,7Networks_LH_DorsAttn_Post_10,DAN,-0.42780047715838054
40,7Networks_LH_DorsAttn_FEF_1,DAN,0.4007332241040781
41,7Networks_LH_DorsAttn_FEF_2,DAN,0.9131494099721528
42,7Networks_LH_DorsAttn_PrCv_1,DAN,1.2650578477403538
43,7Networks_LH_SalVentAttn_ParOper_1,SAL,1.0294745923676154
44,7Networks_LH_SalVentAttn_ParOper_2,SAL,0.8697575833427251
45,7Networks_LH_SalVentAttn_ParOper_3,SAL,1.4675714797270332
46,7Networks_LH_SalVentAttn_FrOperIns_1,SAL,1.1462792689979868
47,7Networks_LH_SalVentAttn_FrOperIns_2,SAL,1.6624806393602247
48,7Networks_LH_SalVentAttn_FrOperIns_3,SAL,1.4087194508346057
49,7Networks_LH_SalVentAttn_FrOperIns_4,SAL,0.95615492570295
50,7Networks_LH_SalVentAttn_PFCl_1,SAL,0.36071622104662154
51,7Networks_LH_SalVentAttn_Med_1,SAL,-0.09455729878110718
52,7Networks_LH_SalVentAttn_Med_2,SAL,-0.0819318275057124
53,7Networks_LH_SalVentAttn_Med_3,SAL,0.15976490604413804
54,7Networks_LH_Limbic_OFC_1,LIM,0.5143530513395982
55,7Networks_LH_Limbic_OFC_2,LIM,0.5056490152259294
56,7Networks_LH_Limbic_TempPole_1,LIM,0.4566762637886178
57,7Networks_LH_Limbic_TempPole_2,LIM,0.10351168571057813
58,7Networks_LH_Limbic_TempPole_3,LIM,-0.8810689545125127
59,7Networks_LH_Limbic_TempPole_4,LIM,1.3563551932084201
60,7Networks_LH_Cont_Par_1,FPN,1.2750706036512127
61,7Networks_LH_Cont_Par_2,FPN,0.970698811510508
62,7Networks_LH_Cont_Par_3,FPN,1.2660672601973249
63,7Networks_LH_Cont_Temp_1,FPN,0.5213341178984683
64,7Networks_LH_Cont_OFC_1,FPN,1.1886009856498814
65,7Networks_LH_Cont_PFCl_1,FPN,1.025659300517587
66,7Networks_LH_Cont_PFCl_2,FPN,0.6342432932653611
67,7Networks_LH_Cont_PFCl_3,FPN,1.0511748418513756
68,7Networks_LH_Cont_PFCl_4,FPN,0.758971757414525
69,7Networks_LH_Cont_PFCl_5,FPN,0.7407622279822889
70,7Networks_LH_Cont_pCun_1,FPN,0.7551469774760734
71,7Networks_LH_Cont_Cing_1,FPN,0.25114370324750424
72,7Networks_LH_Cont_Cing_2,FPN,-0.06813048083582687
73,7Networks_LH_Default_Temp_1,DMN,-0.040882426779853424
74,7Networks_LH_Default_Temp_2,DMN,1.1818324960884339
75,7Networks_LH_Default_Temp_3,DMN,-0.3455796642261535
76,7Networks_LH_Default_Temp_4,DMN,1.1233752327345485
77,7Networks_LH_Default_Temp_5,DMN,0.3765626362897944
78,7Networks_LH_Default_Par_1,DMN,0.5605776606056712
79,7Networks_LH_Default_Par_2,DMN,0.22553284796637624
80,7Networks_LH_Default_Par_3,DMN,1.234846870779692
81,7Networks_LH_Default_Par_4,DMN,0.9481490337557036
82,7Networks_LH_Default_PFC_1,DMN,0.5519870667047333
83,7Networks_LH_Default_PFC_2,DMN,1.2512530264850041
84,7Networks_LH_Default_PFC_3,DMN,1.3000758490385658
85,7Networks_LH_Default_PFC_4,DMN,0.5210090542991956
86,7Networks_LH_Default_PFC_5,DMN,0.8587097682062181
87,7Networks_LH_Default_PFC_6,DMN,1.3839076998991073
88,7Networks_LH_Default_PFC_7,DMN,1.2799916013098949
89,7Networks_LH_Default_PFC_8,DMN,0.813669508287193
90,7Networks_LH_Default_PFC_9,DMN,0.9769070540441179
91,7Networks_LH_Default_PFC_10,DMN,2.032017880238561
92,7Networks_LH_Default_PFC_11,DMN,1.1860731033511396
93,7Networks_LH_Default_PFC_12,DMN,0.7386350626172177
94,7Networks_LH_Default_PFC_13,DMN,0.7735806262989988
95,7Networks_LH_Default_pCunPCC_1,DMN,1.4780462380622315
96,7Networks_LH_Default_pCunPCC_2,DMN,1.3842692554174245
97,7Networks_LH_Default_pCunPCC_3,DMN,0.41187225056155347
98,7Networks_LH_Default_pCunPCC_4,DMN,1.7789486842924656
99,7Networks_LH_Default_PHC_1,DMN,0.8638892125922174
100,7Networks_RH_Vis_1,VIS,0.5651631152614885
101,7Networks_RH_Vis_2,VIS,1.003495000569919
102,7Networks_RH_Vis_3,VIS,1.3369392399767106
103,7Networks_RH_Vis_4,VIS,1.1843571497972372
104,7Networks_RH_Vis_5,VIS,0.9918247159671154
105,7Networks_RH_Vis_6,VIS,1.1372767147055813
106,7Networks_RH_Vis_7,VIS,1.9012109566848296
107,7Networks_RH_Vis_8,VIS,1.5587077909169758
108,7Networks_RH_Vis_9,VIS,0.5873884451172151
109,7Networks_RH_Vis_10,VIS,0.010538216108812008
110,7Networks_RH_Vis_11,VIS,0.8888675531044457
111,7Networks_RH_Vis_12,VIS,0.9460667709317225
112,7Networks_RH_Vis_13,VIS,0.21310446752950074
113,7Networks_RH_Vis_14,VIS,0.3644191431002922
114,7Networks_RH_Vis_15,VIS,0.4497755269798514
115,7Networks_RH_SomMot_1,SOM,0.9738911330747417
116,7Networks_RH_SomMot_2,SOM,0.7344812689146544
117,7Networks_RH_SomMot_3,SOM,0.374278184460907
118,7Networks_RH_SomMot_4,SOM,0.5222012457654067
119,7Networks_RH_SomMot_5,SOM,-0.32612072193558067
120,7Networks_RH_SomMot_6,SOM,0.6118201103698425
121,7Networks_RH_SomMot_7,SOM,-0.6973404701462159
122,7Networks_RH_SomMot_8,SOM,0.24220113929101592
123,7Networks_RH_SomMot_9,SOM,0.6664174159451046
124,7Networks_RH_SomMot_10,SOM,0.6580808244840026
125,7Networks_RH_SomMot_11,SOM,-0.08188872647296427
126,7Networks_RH_SomMot_12,SOM,0.5665942291237384
127,7Networks_RH_SomMot_13,SOM,0.3552662372805754
128,7Networks_RH_SomMot_14,SOM,0.7480912448664522
129,7Networks_RH_SomMot_15,SOM,0.5565106979650255
130,7Networks_RH_SomMot_16,SOM,-0.3641449766451835
131,7Networks_RH_SomMot_17,SOM,0.5850810525630161
132,7Networks_RH_SomMot_18,SOM,1.155576102103314
133,7Networks_RH_SomMot_19,SOM,1.4111909349073033
134,7Networks_RH_DorsAttn_Post_1,DAN,0.33173955428480684
135,7Networks_RH_DorsAttn_Post_2,DAN,1.0837048410420722
136,7Networks_RH_DorsAttn_Post_3,DAN,0.10849269413796385
137,7Networks_RH_DorsAttn_Post_4,DAN,0.789806125853479
138,7Networks_RH_DorsAttn_Post_5,DAN,0.7336297181052688
139,7Networks_RH_DorsAttn_Post_6,DAN,0.8464571004754533
140,7Networks_RH_DorsAttn_Post_7,DAN,1.0311928683496556
141,7Networks_RH_DorsAttn_Post_8,DAN,0.8869170339121059
142,7Networks_RH_DorsAttn_Post_9,DAN,0.6347888152163945
143,7Networks_RH_DorsAttn_Post_10,DAN,-0.579010821647279
144,7Networks_RH_DorsAttn_FEF_1,DAN,-0.00551269478339103
145,7Networks_RH_DorsAttn_FEF_2,DAN,1.0039937481249834
146,7Networks_RH_DorsAttn_PrCv_1,DAN,1.3850830442786155
147,7Networks_RH_SalVentAttn_TempOccPar_1,SAL,1.2671136985819158
148,7Networks_RH_SalVentAttn_TempOccPar_2,SAL,0.8035938645117353
149,7Networks_RH_SalVentAttn_TempOccPar_3,SAL,1.1792388114490628
150,7Networks_RH_SalVentAttn_PrC_1,SAL,1.4272229309787743
151,7Networks_RH_SalVentAttn_FrOperIns_1,SAL,0.6471681634026342
152,7Networks_RH_SalVentAttn_FrOperIns_2,SAL,0.3645309109625997
153,7Networks_RH_SalVentAttn_FrOperIns_3,SAL,0.3860997639129799
154,7Networks_RH_SalVentAttn_FrOperIns_4,SAL,0.5555593357504568
155,7Networks_RH_SalVentAttn_Med_1,SAL,0.5651997175291126
156,7Networks_RH_SalVentAttn_Med_2,SAL,-0.06751192451046001
157,7Networks_RH_SalVentAttn_Med_3,SAL,1.2218232346697848
