,ROI,Networks,t-value mean
0,7Networks_LH_Vis_1,VIS,0.07594185048304827
1,7Networks_LH_Vis_2,VIS,0.21055707084310324
2,7Networks_LH_Vis_3,VIS,-0.09981106217844177
3,7Networks_LH_Vis_4,VIS,-0.09361467161445212
4,7Networks_LH_Vis_5,VIS,0.09844899135713345
5,7Networks_LH_Vis_6,VIS,-0.371987932548025
6,7Networks_LH_Vis_7,VIS,-0.17031564302215854
7,7Networks_LH_Vis_8,VIS,0.25966024185485825
8,7Networks_LH_Vis_9,VIS,0.19437496532724347
9,7Networks_LH_Vis_10,VIS,-0.06060545998974173
10,7Networks_LH_Vis_11,VIS,0.26814283516756954
11,7Networks_LH_Vis_12,VIS,0.25996830269429966
12,7Networks_LH_Vis_13,VIS,0.17334265733684312
13,7Networks_LH_Vis_14,VIS,0.5797557718163956
14,7Networks_LH_SomMot_1,SOM,-0.2409787954825691
15,7Networks_LH_SomMot_2,SOM,-0.22920442971729788
16,7Networks_LH_SomMot_3,SOM,0.05671868937550088
17,7Networks_LH_SomMot_4,SOM,0.0200107767902948
18,7Networks_LH_SomMot_5,SOM,-0.11092955617409814
19,7Networks_LH_SomMot_6,SOM,0.3182546567700705
20,7Networks_LH_SomMot_7,SOM,0.00039819496202929264
21,7Networks_LH_SomMot_8,SOM,-0.2890715649981919
22,7Networks_LH_SomMot_9,SOM,-0.22055692425359308
23,7Networks_LH_SomMot_10,SOM,-0.1385625812694142
24,7Networks_LH_SomMot_11,SOM,-0.2099357543194242
25,7Networks_LH_SomMot_12,SOM,-0.21243232930572267
26,7Networks_LH_SomMot_13,SOM,-0.45734058619565804
27,7Networks_LH_SomMot_14,SOM,-0.21799156849332788
28,7Networks_LH_SomMot_15,SOM,-0.2615140547041872
29,7Networks_LH_SomMot_16,SOM,-0.01838540690851119
30,7Networks_LH_DorsAttn_Post_1,DAN,0.20319773707323197
31,7Networks_LH_DorsAttn_Post_2,DAN,-0.13973189533641112
32,7Networks_LH_DorsAttn_Post_3,DAN,0.20158387562903946
33,7Networks_LH_DorsAttn_Post_4,DAN,-0.2871747155597232
34,7Networks_LH_DorsAttn_Post_5,DAN,-0.5293426468676226
35,7Networks_LH_DorsAttn_Post_6,DAN,0.11760919427498434
36,7Networks_LH_DorsAttn_Post_7,DAN,0.22393641885037668
37,7Networks_LH_DorsAttn_Post_8,DAN,0.2582743775608863
38,7Networks_LH_DorsAttn_Post_9,DAN,0.45447797780647825
39,7Networks_LH_DorsAttn_Post_10,DAN,0.17714344658555323
40,7Networks_LH_DorsAttn_FEF_1,DAN,-0.2037123908699123
41,7Networks_LH_DorsAttn_FEF_2,DAN,-0.06484696302443164
42,7Networks_LH_DorsAttn_PrCv_1,DAN,-0.26393939760822216
43,7Networks_LH_SalVentAttn_ParOper_1,SAL,-0.32791127681088283
44,7Networks_LH_SalVentAttn_ParOper_2,SAL,-0.43120013915995287
45,7Networks_LH_SalVentAttn_ParOper_3,SAL,-0.27526005312152313
46,7Networks_LH_SalVentAttn_FrOperIns_1,SAL,-0.19952691905866227
47,7Networks_LH_SalVentAttn_FrOperIns_2,SAL,-0.2809424208477128
48,7Networks_LH_SalVentAttn_FrOperIns_3,SAL,-0.19642490391666464
49,7Networks_LH_SalVentAttn_FrOperIns_4,SAL,-0.39884811719933333
50,7Networks_LH_SalVentAttn_PFCl_1,SAL,0.04806050860585794
51,7Networks_LH_SalVentAttn_Med_1,SAL,-0.7349490938153187
52,7Networks_LH_SalVentAttn_Med_2,SAL,0.42692386468580645
53,7Networks_LH_SalVentAttn_Med_3,SAL,-0.5992072443714178
54,7Networks_LH_Limbic_OFC_1,LIM,-0.2709065859507617
55,7Networks_LH_Limbic_OFC_2,LIM,0.03528891049057837
56,7Networks_LH_Limbic_TempPole_1,LIM,0.259843655911204
57,7Networks_LH_Limbic_TempPole_2,LIM,0.11227406628812493
58,7Networks_LH_Limbic_TempPole_3,LIM,0.04162034233484711
59,7Networks_LH_Limbic_TempPole_4,LIM,-0.2422172640354399
60,7Networks_LH_Cont_Par_1,FPN,0.16943068493578528
61,7Networks_LH_Cont_Par_2,FPN,0.22690702157140596
62,7Networks_LH_Cont_Par_3,FPN,-0.10486432520021421
63,7Networks_LH_Cont_Temp_1,FPN,-0.049978730007434066
64,7Networks_LH_Cont_OFC_1,FPN,0.3973409771320985
65,7Networks_LH_Cont_PFCl_1,FPN,0.2452199828316302
66,7Networks_LH_Cont_PFCl_2,FPN,0.3496209822676454
67,7Networks_LH_Cont_PFCl_3,FPN,-0.3034307641164916
68,7Networks_LH_Cont_PFCl_4,FPN,-0.2420428060067479
