,ROI,Networks,t-value mean
0,7Networks_LH_Vis_1,VIS,0.5909214474406825
1,7Networks_LH_Vis_2,VIS,0.9343480311550083
2,7Networks_LH_Vis_3,VIS,0.5372686804309713
3,7Networks_LH_Vis_4,VIS,0.9440574557045615
4,7Networks_LH_Vis_5,VIS,0.32808510385944467
5,7Networks_LH_Vis_6,VIS,0.5510134095195638
6,7Networks_LH_Vis_7,VIS,0.49446940346189056
7,7Networks_LH_Vis_8,VIS,0.9613881300036929
8,7Networks_LH_Vis_9,VIS,0.5439727032758485
9,7Networks_LH_Vis_10,VIS,0.7327822607934376
10,7Networks_LH_Vis_11,VIS,0.6225153099448414
11,7Networks_LH_Vis_12,VIS,0.637629896016685
12,7Networks_LH_Vis_13,VIS,0.2979875860758435
13,7Networks_LH_Vis_14,VIS,0.22947059173588033
14,7Networks_LH_SomMot_1,SOM,0.50943026422836
15,7Networks_LH_SomMot_2,SOM,0.586956823669867
16,7Networks_LH_SomMot_3,SOM,0.40356180640127337
17,7Networks_LH_SomMot_4,SOM,0.9744366566083988
18,7Networks_LH_SomMot_5,SOM,0.6665686522772991
19,7Networks_LH_SomMot_6,SOM,0.2745514774742771
20,7Networks_LH_SomMot_7,SOM,0.3921447580837861
21,7Networks_LH_SomMot_8,SOM,-0.09982013028202241
22,7Networks_LH_SomMot_9,SOM,0.21449801750189273
23,7Networks_LH_SomMot_10,SOM,0.7346791825614833
24,7Networks_LH_SomMot_11,SOM,0.01984954062476242
25,7Networks_LH_SomMot_12,SOM,0.7178392840137476
26,7Networks_LH_SomMot_13,SOM,0.21596923688074424
27,7Networks_LH_SomMot_14,SOM,-0.13654545914098695
28,7Networks_LH_SomMot_15,SOM,0.39704441593065865
29,7Networks_LH_SomMot_16,SOM,0.516656103912453
30,7Networks_LH_DorsAttn_Post_1,DAN,0.5797963119448218
31,7Networks_LH_DorsAttn_Post_2,DAN,0.6734356885516248
32,7Networks_LH_DorsAttn_Post_3,DAN,0.6373732848697015
33,7Networks_LH_DorsAttn_Post_4,DAN,0.4207821476326986
34,7Networks_LH_DorsAttn_Post_5,DAN,-0.08214878853300384
35,7Networks_LH_DorsAttn_Post_6,DAN,0.6372543254098954
36,7Networks_LH_DorsAttn_Post_7,DAN,0.4981353602773387
37,7Networks_LH_DorsAttn_Post_8,DAN,0.25100562459136694
38,7Networks_LH_DorsAttn_Post_9,DAN,0.5607580354998887
39,7Networks_LH_DorsAttn_Post_10,DAN,0.16207310561817978
40,7Networks_LH_DorsAttn_FEF_1,DAN,0.5111325518050291
41,7Networks_LH_DorsAttn_FEF_2,DAN,0.770770821792693
42,7Networks_LH_DorsAttn_PrCv_1,DAN,0.3465313354627937
43,7Networks_LH_SalVentAttn_ParOper_1,SAL,0.7419160924583748
44,7Networks_LH_SalVentAttn_ParOper_2,SAL,0.5484177671859578
45,7Networks_LH_SalVentAttn_ParOper_3,SAL,0.725531485871733
46,7Networks_LH_SalVentAttn_FrOperIns_1,SAL,0.3326435953267516
47,7Networks_LH_SalVentAttn_FrOperIns_2,SAL,0.2411277759065351
48,7Networks_LH_SalVentAttn_FrOperIns_3,SAL,0.6493802629676353
49,7Networks_LH_SalVentAttn_FrOperIns_4,SAL,0.35867299179484147
50,7Networks_LH_SalVentAttn_PFCl_1,SAL,0.043059821920948135
51,7Networks_LH_SalVentAttn_Med_1,SAL,-0.01224510538831304
52,7Networks_LH_SalVentAttn_Med_2,SAL,0.24339410436016545
53,7Networks_LH_SalVentAttn_Med_3,SAL,0.0871993038469204
54,7Networks_LH_Limbic_OFC_1,LIM,0.03595748499757558
55,7Networks_LH_Limbic_OFC_2,LIM,0.9140510018859137
56,7Networks_LH_Limbic_TempPole_1,LIM,0.24878097428962864
57,7Networks_LH_Limbic_TempPole_2,LIM,0.2240835954365643
58,7Networks_LH_Limbic_TempPole_3,LIM,-0.4403376950887756
59,7Networks_LH_Limbic_TempPole_4,LIM,0.23743413687409043
60,7Networks_LH_Cont_Par_1,FPN,0.49573367693994486
61,7Networks_LH_Cont_Par_2,FPN,0.17561603914527832
62,7Networks_LH_Cont_Par_3,FPN,0.5489834337283951
63,7Networks_LH_Cont_Temp_1,FPN,0.3462260509637023
