,ROI,Networks,t-value mean
0,7Networks_LH_Vis_1,VIS,-0.296597627416728
1,7Networks_LH_Vis_2,VIS,0.10347290122075926
2,7Networks_LH_Vis_3,VIS,0.2532219371837209
3,7Networks_LH_Vis_4,VIS,-0.6815681412058737
4,7Networks_LH_Vis_5,VIS,-0.7149479846945058
5,7Networks_LH_Vis_6,VIS,-0.6154035721615909
6,7Networks_LH_Vis_7,VIS,-1.0286198062127627
7,7Networks_LH_Vis_8,VIS,-0.8850829871287949
8,7Networks_LH_Vis_9,VIS,-0.46700473016856314
9,7Networks_LH_Vis_10,VIS,-0.49702811147562503
10,7Networks_LH_Vis_11,VIS,-0.10587699300504286
11,7Networks_LH_Vis_12,VIS,-0.42813736282592274
12,7Networks_LH_Vis_13,VIS,0.16746881582852352
13,7Networks_LH_Vis_14,VIS,-0.4267175174463679
14,7Networks_LH_SomMot_1,SOM,0.30644930167859213
15,7Networks_LH_SomMot_2,SOM,-0.32600210462457413
16,7Networks_LH_SomMot_3,SOM,0.4517545927247987
17,7Networks_LH_SomMot_4,SOM,0.343499486535846
18,7Networks_LH_SomMot_5,SOM,-1.0902629321955406
19,7Networks_LH_SomMot_6,SOM,-1.3943097328917944
20,7Networks_LH_SomMot_7,SOM,-0.17925482659848094
21,7Networks_LH_SomMot_8,SOM,-0.5360707358468657
22,7Networks_LH_SomMot_9,SOM,0.41320913185353114
23,7Networks_LH_SomMot_10,SOM,0.3153490612238458
24,7Networks_LH_SomMot_11,SOM,0.2134029829158384
25,7Networks_LH_SomMot_12,SOM,0.11045714099237078
26,7Networks_LH_SomMot_13,SOM,0.46921246926646576
27,7Networks_LH_SomMot_14,SOM,-0.35629993776386276
28,7Networks_LH_SomMot_15,SOM,-1.1026399727570289
29,7Networks_LH_SomMot_16,SOM,0.05972032485491224
30,7Networks_LH_DorsAttn_Post_1,DAN,0.33209169772604585
31,7Networks_LH_DorsAttn_Post_2,DAN,-0.07783957235302005
32,7Networks_LH_DorsAttn_Post_3,DAN,-0.06513197545344153
33,7Networks_LH_DorsAttn_Post_4,DAN,-0.6154488350097594
34,7Networks_LH_DorsAttn_Post_5,DAN,-0.2175302502165777
35,7Networks_LH_DorsAttn_Post_6,DAN,0.7401035438559063
36,7Networks_LH_DorsAttn_Post_7,DAN,-0.37865098614970305
37,7Networks_LH_DorsAttn_Post_8,DAN,-0.38433690235833984
38,7Networks_LH_DorsAttn_Post_9,DAN,-0.46920587440761335
39,7Networks_LH_DorsAttn_Post_10,DAN,-0.18460575518784555
40,7Networks_LH_DorsAttn_FEF_1,DAN,-0.2806204403440138
41,7Networks_LH_DorsAttn_FEF_2,DAN,-0.7578002786327641
42,7Networks_LH_DorsAttn_PrCv_1,DAN,0.40855516612840453
43,7Networks_LH_SalVentAttn_ParOper_1,SAL,0.08023964582601657
44,7Networks_LH_SalVentAttn_ParOper_2,SAL,-0.6125264420616383
45,7Networks_LH_SalVentAttn_ParOper_3,SAL,-0.12566999195512069
46,7Networks_LH_SalVentAttn_FrOperIns_1,SAL,-0.1020344406341294
47,7Networks_LH_SalVentAttn_FrOperIns_2,SAL,-0.609350756139515
48,7Networks_LH_SalVentAttn_FrOperIns_3,SAL,-0.24213380929879363
49,7Networks_LH_SalVentAttn_FrOperIns_4,SAL,-0.03263782278156885
50,7Networks_LH_SalVentAttn_PFCl_1,SAL,-0.35652041758271813
51,7Networks_LH_SalVentAttn_Med_1,SAL,-0.44144203985588293
52,7Networks_LH_SalVentAttn_Med_2,SAL,-1.2050413447235704
53,7Networks_LH_SalVentAttn_Med_3,SAL,-0.8019096217322189
54,7Networks_LH_Limbic_OFC_1,LIM,-0.31385497226900466
55,7Networks_LH_Limbic_OFC_2,LIM,-0.27166164580961516
56,7Networks_LH_Limbic_TempPole_1,LIM,-0.5199832457287996
57,7Networks_LH_Limbic_TempPole_2,LIM,-0.8217336635203772
58,7Networks_LH_Limbic_TempPole_3,LIM,-1.690306194635301
59,7Networks_LH_Limbic_TempPole_4,LIM,-0.2914496266866371
60,7Networks_LH_Cont_Par_1,FPN,-0.9784977405634916
61,7Networks_LH_Cont_Par_2,FPN,0.47924950918363274
62,7Networks_LH_Cont_Par_3,FPN,0.12842492386110244
63,7Networks_LH_Cont_Temp_1,FPN,-0.8011644403214885
64,7Networks_LH_Cont_OFC_1,FPN,0.0656276067804865
65,7Networks_LH_Cont_PFCl_1,FPN,-0.9063541430383042
66,7Networks_LH_Cont_PFCl_2,FPN,-0.15755093542430565
67,7Networks_LH_Cont_PFCl_3,FPN,-0.0024209963470491528
68,7Networks_LH_Cont_PFCl_4,FPN,-0.37034005905266837
69,7Networks_LH_Cont_PFCl_5,FPN,-0.07183945049384423
70,7Networks_LH_Cont_pCun_1,FPN,-0.30615254604436026
71,7Networks_LH_Cont_Cing_1,FPN,-0.4910271874024927
72,7Networks_LH_Cont_Cing_2,FPN,-0.47874165911582944
73,7Networks_LH_Default_Temp_1,DMN,-0.9358328421104587
74,7Networks_LH_Default_Temp_2,DMN,-0.7991117020354415
75,7Networks_LH_Default_Temp_3,DMN,-0.46552663970712993
76,7Networks_LH_Default_Temp_4,DMN,-0.4464200131703517
77,7Networks_LH_Default_Temp_5,DMN,-1.6588474767125636
78,7Networks_LH_Default_Par_1,DMN,-0.3389104364178828
79,7Networks_LH_Default_Par_2,DMN,-0.21437810562190884
80,7Networks_LH_Default_Par_3,DMN,-0.38793581209443495
81,7Networks_LH_Default_Par_4,DMN,0.2391909455437319
82,7Networks_LH_Default_PFC_1,DMN,-0.12328946548289423
83,7Networks_LH_Default_PFC_2,DMN,-1.2054807481573593
84,7Networks_LH_Default_PFC_3,DMN,0.06733232370553396
85,7Networks_LH_Default_PFC_4,DMN,-1.6493326600940346e-05
86,7Networks_LH_Default_PFC_5,DMN,0.06547751429797316
87,7Networks_LH_Default_PFC_6,DMN,0.25348975880484026
88,7Networks_LH_Default_PFC_7,DMN,0.5375407380618916
89,7Networks_LH_Default_PFC_8,DMN,-0.26558699198065194
90,7Networks_LH_Default_PFC_9,DMN,0.5919256603070131
91,7Networks_LH_Default_PFC_10,DMN,-0.15385384270037789
92,7Networks_LH_Default_PFC_11,DMN,0.24462152441973142
93,7Networks_LH_Default_PFC_12,DMN,0.07976172088402772
94,7Networks_LH_Default_PFC_13,DMN,-0.18893430095633826
95,7Networks_LH_Default_pCunPCC_1,DMN,0.14602343948564525
96,7Networks_LH_Default_pCunPCC_2,DMN,0.13774639898636257
97,7Networks_LH_Default_pCunPCC_3,DMN,-0.4872402486221639
98,7Networks_LH_Default_pCunPCC_4,DMN,-0.0027592327479184346
99,7Networks_LH_Default_PHC_1,DMN,-1.2557662269573122
100,7Networks_RH_Vis_1,VIS,-1.0626867539032758
101,7Networks_RH_Vis_2,VIS,-0.9495704075867082
102,7Networks_RH_Vis_3,VIS,0.8420388219285688
103,7Networks_RH_Vis_4,VIS,-0.7453432501038008
104,7Networks_RH_Vis_5,VIS,-0.14087156530675854
105,7Networks_RH_Vis_6,VIS,-0.7572917669072571
106,7Networks_RH_Vis_7,VIS,0.17068880176140025
107,7Networks_RH_Vis_8,VIS,-0.39582774470983456
108,7Networks_RH_Vis_9,VIS,-0.48248954834069885
109,7Networks_RH_Vis_10,VIS,0.02651542096287836
110,7Networks_RH_Vis_11,VIS,-0.2579118744727462
111,7Networks_RH_Vis_12,VIS,0.0889558134123124
112,7Networks_RH_Vis_13,VIS,0.08640717924221944
113,7Networks_RH_Vis_14,VIS,0.011667910403720038
114,7Networks_RH_Vis_15,VIS,-0.09909291719684264
115,7Networks_RH_SomMot_1,SOM,0.3360612421939031
116,7Networks_RH_SomMot_2,SOM,-0.05609708973817822
117,7Networks_RH_SomMot_3,SOM,0.11462612637261592
118,7Networks_RH_SomMot_4,SOM,-0.5136132111247353
119,7Networks_RH_SomMot_5,SOM,-0.39078923721024844
120,7Networks_RH_SomMot_6,SOM,-0.2062646940398808
