,ROI,Networks,t-value mean
0,7Networks_LH_Vis_1,VIS,-0.1267400958525751
1,7Networks_LH_Vis_2,VIS,0.09493779991843497
2,7Networks_LH_Vis_3,VIS,-0.09463271953050266
3,7Networks_LH_Vis_4,VIS,-0.09638959567581623
4,7Networks_LH_Vis_5,VIS,0.04338143984892414
5,7Networks_LH_Vis_6,VIS,-0.22014026637607423
6,7Networks_LH_Vis_7,VIS,-0.06056154550406629
7,7Networks_LH_Vis_8,VIS,0.23998684162080414
8,7Networks_LH_Vis_9,VIS,0.07506006319532806
9,7Networks_LH_Vis_10,VIS,-0.06306682745721169
10,7Networks_LH_Vis_11,VIS,0.1409295688315727
11,7Networks_LH_Vis_12,VIS,0.16737552212171805
12,7Networks_LH_Vis_13,VIS,-0.13292015305258506
13,7Networks_LH_Vis_14,VIS,-0.18746333294033193
14,7Networks_LH_SomMot_1,SOM,-0.09431670233404449
15,7Networks_LH_SomMot_2,SOM,-0.07418933961253428
16,7Networks_LH_SomMot_3,SOM,-0.06278633116900519
17,7Networks_LH_SomMot_4,SOM,-0.26083255641044084
18,7Networks_LH_SomMot_5,SOM,-0.44936934831731495
19,7Networks_LH_SomMot_6,SOM,-0.49489224365323353
20,7Networks_LH_SomMot_7,SOM,-0.24458281033525484
21,7Networks_LH_SomMot_8,SOM,-0.4492352147485954
22,7Networks_LH_SomMot_9,SOM,-0.7176035268413398
23,7Networks_LH_SomMot_10,SOM,-0.5289683855766282
24,7Networks_LH_SomMot_11,SOM,-0.6082812391565761
25,7Networks_LH_SomMot_12,SOM,-0.48128478574946915
26,7Networks_LH_SomMot_13,SOM,-0.6221118937490301
27,7Networks_LH_SomMot_14,SOM,-0.3023149313001364
28,7Networks_LH_SomMot_15,SOM,-0.6018747968567885
29,7Networks_LH_SomMot_16,SOM,-0.17540078577156148
30,7Networks_LH_DorsAttn_Post_1,DAN,-0.18972157658099376
31,7Networks_LH_DorsAttn_Post_2,DAN,-0.10305681230030495
32,7Networks_LH_DorsAttn_Post_3,DAN,-0.24111017268163246
33,7Networks_LH_DorsAttn_Post_4,DAN,-0.6576765139721733
34,7Networks_LH_DorsAttn_Post_5,DAN,-0.7240505755687363
35,7Networks_LH_DorsAttn_Post_6,DAN,-0.16597331495685635
36,7Networks_LH_DorsAttn_Post_7,DAN,-0.40732739964972353
37,7Networks_LH_DorsAttn_Post_8,DAN,-0.2912447830807662
38,7Networks_LH_DorsAttn_Post_9,DAN,-0.8576575650950425
39,7Networks_LH_DorsAttn_Post_10,DAN,-0.5494444318434539
40,7Networks_LH_DorsAttn_FEF_1,DAN,-0.24267273972728656
41,7Networks_LH_DorsAttn_FEF_2,DAN,-0.2576900507075522
42,7Networks_LH_DorsAttn_PrCv_1,DAN,0.011348848249631645
43,7Networks_LH_SalVentAttn_ParOper_1,SAL,0.19394157506040585
44,7Networks_LH_SalVentAttn_ParOper_2,SAL,-0.43328000499512637
45,7Networks_LH_SalVentAttn_ParOper_3,SAL,0.16995805199402794
46,7Networks_LH_SalVentAttn_FrOperIns_1,SAL,-0.1534269573726418
47,7Networks_LH_SalVentAttn_FrOperIns_2,SAL,0.03158665475965004
48,7Networks_LH_SalVentAttn_FrOperIns_3,SAL,-0.16792395669882176
49,7Networks_LH_SalVentAttn_FrOperIns_4,SAL,0.09753418017338661
50,7Networks_LH_SalVentAttn_PFCl_1,SAL,0.6439077558927004
51,7Networks_LH_SalVentAttn_Med_1,SAL,-0.017371794776083183
52,7Networks_LH_SalVentAttn_Med_2,SAL,-0.715524178660218
53,7Networks_LH_SalVentAttn_Med_3,SAL,-0.15622689781087987
54,7Networks_LH_Limbic_OFC_1,LIM,0.1433748023680631
55,7Networks_LH_Limbic_OFC_2,LIM,-0.009695267935901104
56,7Networks_LH_Limbic_TempPole_1,LIM,-0.06786766373477383
57,7Networks_LH_Limbic_TempPole_2,LIM,-0.20029941868189016
58,7Networks_LH_Limbic_TempPole_3,LIM,-0.15920667826333776
59,7Networks_LH_Limbic_TempPole_4,LIM,0.398004681280941
60,7Networks_LH_Cont_Par_1,FPN,0.19979322248797618
61,7Networks_LH_Cont_Par_2,FPN,-0.12071773956551425
62,7Networks_LH_Cont_Par_3,FPN,-0.30003342945212286
63,7Networks_LH_Cont_Temp_1,FPN,0.06999437798008813
64,7Networks_LH_Cont_OFC_1,FPN,0.13073584924569764
65,7Networks_LH_Cont_PFCl_1,FPN,0.3830501662263396
66,7Networks_LH_Cont_PFCl_2,FPN,0.3100600338937229
67,7Networks_LH_Cont_PFCl_3,FPN,0.2260083746999062
68,7Networks_LH_Cont_PFCl_4,FPN,0.005250863570185706
69,7Networks_LH_Cont_PFCl_5,FPN,0.35012754746556973
70,7Networks_LH_Cont_pCun_1,FPN,0.17806146264948514
71,7Networks_LH_Cont_Cing_1,FPN,0.487082970947363
72,7Networks_LH_Cont_Cing_2,FPN,0.2568577671561747
73,7Networks_LH_Default_Temp_1,DMN,0.31344711568711686
74,7Networks_LH_Default_Temp_2,DMN,0.41418793994532754
75,7Networks_LH_Default_Temp_3,DMN,0.20564554703304952
76,7Networks_LH_Default_Temp_4,DMN,0.21670572911649083
77,7Networks_LH_Default_Temp_5,DMN,0.38535131244020293
78,7Networks_LH_Default_Par_1,DMN,0.4889693312484573
79,7Networks_LH_Default_Par_2,DMN,-0.21244078829581364
80,7Networks_LH_Default_Par_3,DMN,0.24632918809705662
81,7Networks_LH_Default_Par_4,DMN,0.2369270054932319
82,7Networks_LH_Default_PFC_1,DMN,0.5880472753877314
83,7Networks_LH_Default_PFC_2,DMN,-0.004083334051996016
84,7Networks_LH_Default_PFC_3,DMN,0.28216522123207066
85,7Networks_LH_Default_PFC_4,DMN,0.1046707469528973
86,7Networks_LH_Default_PFC_5,DMN,0.23188537336482185
87,7Networks_LH_Default_PFC_6,DMN,0.07130591759739086
88,7Networks_LH_Default_PFC_7,DMN,0.3549379129679323
89,7Networks_LH_Default_PFC_8,DMN,0.3074089453161837
90,7Networks_LH_Default_PFC_9,DMN,0.38599121072875564
91,7Networks_LH_Default_PFC_10,DMN,0.3936112488497574
92,7Networks_LH_Default_PFC_11,DMN,0.20384119153217556
93,7Networks_LH_Default_PFC_12,DMN,0.1461647076615048
94,7Networks_LH_Default_PFC_13,DMN,-0.055865605995365324
95,7Networks_LH_Default_pCunPCC_1,DMN,-0.14720149141092878
96,7Networks_LH_Default_pCunPCC_2,DMN,0.16936731799307578
97,7Networks_LH_Default_pCunPCC_3,DMN,0.029802676395754225
98,7Networks_LH_Default_pCunPCC_4,DMN,-0.1576339636992232
99,7Networks_LH_Default_PHC_1,DMN,-0.1713608257723377
100,7Networks_RH_Vis_1,VIS,-0.16571163557079985
101,7Networks_RH_Vis_2,VIS,-0.3886874973782205
102,7Networks_RH_Vis_3,VIS,0.017279348737064833
103,7Networks_RH_Vis_4,VIS,-0.1525732228766923
104,7Networks_RH_Vis_5,VIS,-0.024202839444962893
105,7Networks_RH_Vis_6,VIS,-0.0961185503124789
106,7Networks_RH_Vis_7,VIS,-0.36929448162446943
107,7Networks_RH_Vis_8,VIS,0.07692470421696329
108,7Networks_RH_Vis_9,VIS,-0.1529216918951886
109,7Networks_RH_Vis_10,VIS,-0.30552717234690496
110,7Networks_RH_Vis_11,VIS,-0.07261033272560352
111,7Networks_RH_Vis_12,VIS,-0.32989950704959625
112,7Networks_RH_Vis_13,VIS,0.0453729285383558
113,7Networks_RH_Vis_14,VIS,-0.054891442584623945
114,7Networks_RH_Vis_15,VIS,-0.21625743274229953
115,7Networks_RH_SomMot_1,SOM,-0.18268107304824258
116,7Networks_RH_SomMot_2,SOM,0.0752825409031403
117,7Networks_RH_SomMot_3,SOM,-0.1243715634910719
118,7Networks_RH_SomMot_4,SOM,-0.1459882192255054
119,7Networks_RH_SomMot_5,SOM,-0.06256050984406449
120,7Networks_RH_SomMot_6,SOM,-0.6281234473376047
121,7Networks_RH_SomMot_7,SOM,-0.3319702307980885
122,7Networks_RH_SomMot_8,SOM,-0.2256120301283308
123,7Networks_RH_SomMot_9,SOM,-0.6026685119520633
124,7Networks_RH_SomMot_10,SOM,0.060171347751329644
125,7Networks_RH_SomMot_11,SOM,-0.3344826995226441
126,7Networks_RH_SomMot_12,SOM,-0.5095230992967952
127,7Networks_RH_SomMot_13,SOM,-0.5173734360226971
128,7Networks_RH_SomMot_14,SOM,-0.3576242333228134
129,7Networks_RH_SomMot_15,SOM,-0.2735710717075531
130,7Networks_RH_SomMot_16,SOM,-0.415492717350613
131,7Networks_RH_SomMot_17,SOM,-0.37862777732083247
132,7Networks_RH_SomMot_18,SOM,-0.3109185877917439
133,7Networks_RH_SomMot_19,SOM,-0.04724271555136843
134,7Networks_RH_DorsAttn_Post_1,DAN,-0.1254362930215045
135,7Networks_RH_DorsAttn_Post_2,DAN,0.19259794881469858
136,7Networks_RH_DorsAttn_Post_3,DAN,-0.5991175073842633
