,ROI,Networks,t-value mean
0,7Networks_LH_Vis_1,VIS,-0.04160810107936855
1,7Networks_LH_Vis_2,VIS,0.1506134662410258
2,7Networks_LH_Vis_3,VIS,-0.15777535424532352
3,7Networks_LH_Vis_4,VIS,0.2315165589240331
4,7Networks_LH_Vis_5,VIS,0.19571616756305832
5,7Networks_LH_Vis_6,VIS,0.10434392821484162
6,7Networks_LH_Vis_7,VIS,-0.4182966227111042
7,7Networks_LH_Vis_8,VIS,-0.2978964411147715
8,7Networks_LH_Vis_9,VIS,0.04050273996195812
9,7Networks_LH_Vis_10,VIS,-0.2467559374154243
10,7Networks_LH_Vis_11,VIS,0.30355014905057637
11,7Networks_LH_Vis_12,VIS,0.11491639276008135
12,7Networks_LH_Vis_13,VIS,0.08709875188023626
13,7Networks_LH_Vis_14,VIS,-0.10396351809840591
14,7Networks_LH_SomMot_1,SOM,0.5508632459771153
15,7Networks_LH_SomMot_2,SOM,0.44705184524973307
16,7Networks_LH_SomMot_3,SOM,0.5236002195927756
17,7Networks_LH_SomMot_4,SOM,0.4361468402292566
18,7Networks_LH_SomMot_5,SOM,0.34744448342602213
19,7Networks_LH_SomMot_6,SOM,-0.10142157807564782
20,7Networks_LH_SomMot_7,SOM,-0.2759740782433688
21,7Networks_LH_SomMot_8,SOM,-0.06460222247213691
22,7Networks_LH_SomMot_9,SOM,-0.45280780551618005
23,7Networks_LH_SomMot_10,SOM,-0.20658499178564776
24,7Networks_LH_SomMot_11,SOM,-0.4930849631927701
25,7Networks_LH_SomMot_12,SOM,-0.38176093831032043
26,7Networks_LH_SomMot_13,SOM,-0.1767026760875804
27,7Networks_LH_SomMot_14,SOM,-0.1031038483529923
28,7Networks_LH_SomMot_15,SOM,-0.541112241086275
29,7Networks_LH_SomMot_16,SOM,-0.384500499605745
30,7Networks_LH_DorsAttn_Post_1,DAN,0.067875978722918
31,7Networks_LH_DorsAttn_Post_2,DAN,0.08429041130527114
32,7Networks_LH_DorsAttn_Post_3,DAN,-0.15044464564659604
33,7Networks_LH_DorsAttn_Post_4,DAN,-0.40730045990602737
34,7Networks_LH_DorsAttn_Post_5,DAN,-0.5096758455203182
35,7Networks_LH_DorsAttn_Post_6,DAN,-0.3662222305196493
36,7Networks_LH_DorsAttn_Post_7,DAN,0.04506747864809771
37,7Networks_LH_DorsAttn_Post_8,DAN,-0.16055094707624662
38,7Networks_LH_DorsAttn_Post_9,DAN,0.32804609464430634
39,7Networks_LH_DorsAttn_Post_10,DAN,-0.6072046070105599
40,7Networks_LH_DorsAttn_FEF_1,DAN,-0.3973822331222794
41,7Networks_LH_DorsAttn_FEF_2,DAN,-0.016345725551236225
42,7Networks_LH_DorsAttn_PrCv_1,DAN,0.06835077061868283
43,7Networks_LH_SalVentAttn_ParOper_1,SAL,0.4662419949800221
44,7Networks_LH_SalVentAttn_ParOper_2,SAL,-0.0016448162859569297
45,7Networks_LH_SalVentAttn_ParOper_3,SAL,-0.05910911210973649
46,7Networks_LH_SalVentAttn_FrOperIns_1,SAL,0.32288586036060274
47,7Networks_LH_SalVentAttn_FrOperIns_2,SAL,-0.1198585658744922
48,7Networks_LH_SalVentAttn_FrOperIns_3,SAL,0.1118644736408046
49,7Networks_LH_SalVentAttn_FrOperIns_4,SAL,0.6214947994779402
50,7Networks_LH_SalVentAttn_PFCl_1,SAL,0.04831253147005608
51,7Networks_LH_SalVentAttn_Med_1,SAL,0.28614363776413937
52,7Networks_LH_SalVentAttn_Med_2,SAL,-0.03407745253224033
53,7Networks_LH_SalVentAttn_Med_3,SAL,-0.25424421854781115
54,7Networks_LH_Limbic_OFC_1,LIM,0.3976137102104633
55,7Networks_LH_Limbic_OFC_2,LIM,-0.24192410350948482
56,7Networks_LH_Limbic_TempPole_1,LIM,-0.20801399547284116
57,7Networks_LH_Limbic_TempPole_2,LIM,0.0835931972679931
58,7Networks_LH_Limbic_TempPole_3,LIM,-0.4846904562127461
59,7Networks_LH_Limbic_TempPole_4,LIM,0.3201788339681375
60,7Networks_LH_Cont_Par_1,FPN,0.11150965710237379
61,7Networks_LH_Cont_Par_2,FPN,0.36380865740875956
62,7Networks_LH_Cont_Par_3,FPN,-0.4400428763002926
63,7Networks_LH_Cont_Temp_1,FPN,0.06238732968770136
64,7Networks_LH_Cont_OFC_1,FPN,0.002773271064715449
65,7Networks_LH_Cont_PFCl_1,FPN,0.6478931962450822
66,7Networks_LH_Cont_PFCl_2,FPN,0.19291739654122161
67,7Networks_LH_Cont_PFCl_3,FPN,0.0529197081471649
68,7Networks_LH_Cont_PFCl_4,FPN,0.27358779335938144
69,7Networks_LH_Cont_PFCl_5,FPN,0.38347918328011943
70,7Networks_LH_Cont_pCun_1,FPN,-0.3174612717291118
71,7Networks_LH_Cont_Cing_1,FPN,-0.24689478213788602
72,7Networks_LH_Cont_Cing_2,FPN,0.23061458512641161
73,7Networks_LH_Default_Temp_1,DMN,-0.6008174602359221
74,7Networks_LH_Default_Temp_2,DMN,-0.1294384158971127
75,7Networks_LH_Default_Temp_3,DMN,-0.2730978642561739
76,7Networks_LH_Default_Temp_4,DMN,-0.1707798769567645
77,7Networks_LH_Default_Temp_5,DMN,-0.3061710378596458
78,7Networks_LH_Default_Par_1,DMN,-0.47280259953809173
79,7Networks_LH_Default_Par_2,DMN,0.00018144674976470134
80,7Networks_LH_Default_Par_3,DMN,-0.2828606807659219
81,7Networks_LH_Default_Par_4,DMN,-0.0331691689138567
82,7Networks_LH_Default_PFC_1,DMN,0.5946452899964619
83,7Networks_LH_Default_PFC_2,DMN,-0.38506757940558417
84,7Networks_LH_Default_PFC_3,DMN,0.5845753800020389
