,ROI,Networks,t-value mean
0,7Networks_LH_Vis_1,VIS,0.4888277613495718
1,7Networks_LH_Vis_2,VIS,0.31866183827781974
2,7Networks_LH_Vis_3,VIS,0.3816109184434251
3,7Networks_LH_Vis_4,VIS,-0.02136617130655785
4,7Networks_LH_Vis_5,VIS,-0.12297373117103072
5,7Networks_LH_Vis_6,VIS,0.8077387345636088
6,7Networks_LH_Vis_7,VIS,0.34850062002798715
7,7Networks_LH_Vis_8,VIS,0.6000974747451148
8,7Networks_LH_Vis_9,VIS,-0.007323241715991926
9,7Networks_LH_Vis_10,VIS,0.31599334225880077
10,7Networks_LH_Vis_11,VIS,0.517431959500085
11,7Networks_LH_Vis_12,VIS,0.5062715207546322
12,7Networks_LH_Vis_13,VIS,0.3730657953689284
13,7Networks_LH_Vis_14,VIS,0.15684047097099746
14,7Networks_LH_SomMot_1,SOM,0.2848858483539263
15,7Networks_LH_SomMot_2,SOM,0.5538286410233074
16,7Networks_LH_SomMot_3,SOM,0.623969307775675
17,7Networks_LH_SomMot_4,SOM,0.30230495803740526
18,7Networks_LH_SomMot_5,SOM,0.21997945055357193
19,7Networks_LH_SomMot_6,SOM,0.21874929772211762
20,7Networks_LH_SomMot_7,SOM,0.030938822531588667
21,7Networks_LH_SomMot_8,SOM,0.056751661605574925
22,7Networks_LH_SomMot_9,SOM,-0.010260869012314312
23,7Networks_LH_SomMot_10,SOM,-0.03341518334351716
24,7Networks_LH_SomMot_11,SOM,0.003745687000978261
25,7Networks_LH_SomMot_12,SOM,-0.06626477215969541
26,7Networks_LH_SomMot_13,SOM,0.06460089157430125
27,7Networks_LH_SomMot_14,SOM,-0.013115721191590747
28,7Networks_LH_SomMot_15,SOM,-0.22956391266790088
29,7Networks_LH_SomMot_16,SOM,-0.10565542120370734
30,7Networks_LH_DorsAttn_Post_1,DAN,0.18012472215888153
31,7Networks_LH_DorsAttn_Post_2,DAN,0.35702865246457904
32,7Networks_LH_DorsAttn_Post_3,DAN,-0.06998691166413318
33,7Networks_LH_DorsAttn_Post_4,DAN,0.0007002312925802985
34,7Networks_LH_DorsAttn_Post_5,DAN,-0.13725195202420004
35,7Networks_LH_DorsAttn_Post_6,DAN,-0.2912815922792159
36,7Networks_LH_DorsAttn_Post_7,DAN,0.2867547270447651
37,7Networks_LH_DorsAttn_Post_8,DAN,0.00030760245308093554
38,7Networks_LH_DorsAttn_Post_9,DAN,-0.05596341494353713
39,7Networks_LH_DorsAttn_Post_10,DAN,-0.17728886408629813
40,7Networks_LH_DorsAttn_FEF_1,DAN,-0.053579298540866474
41,7Networks_LH_DorsAttn_FEF_2,DAN,-0.14551381353374312
42,7Networks_LH_DorsAttn_PrCv_1,DAN,0.5718102036711713
43,7Networks_LH_SalVentAttn_ParOper_1,SAL,0.10391605661686257
44,7Networks_LH_SalVentAttn_ParOper_2,SAL,0.07490459317385725
45,7Networks_LH_SalVentAttn_ParOper_3,SAL,-0.3215555520304736
46,7Networks_LH_SalVentAttn_FrOperIns_1,SAL,0.519133529829361
47,7Networks_LH_SalVentAttn_FrOperIns_2,SAL,0.3246932656245195
48,7Networks_LH_SalVentAttn_FrOperIns_3,SAL,0.5335132137822577
49,7Networks_LH_SalVentAttn_FrOperIns_4,SAL,0.35588732251898136
50,7Networks_LH_SalVentAttn_PFCl_1,SAL,0.09587649087452771
51,7Networks_LH_SalVentAttn_Med_1,SAL,0.3338035240765082
52,7Networks_LH_SalVentAttn_Med_2,SAL,-0.3709908572748409
53,7Networks_LH_SalVentAttn_Med_3,SAL,-0.2174845658026208
54,7Networks_LH_Limbic_OFC_1,LIM,0.2055950115302763
55,7Networks_LH_Limbic_OFC_2,LIM,-0.09229520536994397
56,7Networks_LH_Limbic_TempPole_1,LIM,0.24869245852506514
57,7Networks_LH_Limbic_TempPole_2,LIM,-0.28793117571209037
58,7Networks_LH_Limbic_TempPole_3,LIM,0.4142451552577241
59,7Networks_LH_Limbic_TempPole_4,LIM,0.41958382099096536
60,7Networks_LH_Cont_Par_1,FPN,-0.5768743320935211
61,7Networks_LH_Cont_Par_2,FPN,-0.3269261692565333
62,7Networks_LH_Cont_Par_3,FPN,-0.3467179733384451
63,7Networks_LH_Cont_Temp_1,FPN,-0.023532522656794987
64,7Networks_LH_Cont_OFC_1,FPN,-0.3264091855512889
