,ROI,Networks,t-value mean
0,7Networks_LH_Vis_1,VIS,-0.07486157551096907
1,7Networks_LH_Vis_2,VIS,0.01639788195567036
2,7Networks_LH_Vis_3,VIS,0.22864352459116552
3,7Networks_LH_Vis_4,VIS,-0.0904493413711506
4,7Networks_LH_Vis_5,VIS,-0.3875168068481256
5,7Networks_LH_Vis_6,VIS,-0.2678503196610885
6,7Networks_LH_Vis_7,VIS,-0.21075598760765965
7,7Networks_LH_Vis_8,VIS,0.9073662790624966
8,7Networks_LH_Vis_9,VIS,-0.06037944337787502
9,7Networks_LH_Vis_10,VIS,-0.03293022371869452
10,7Networks_LH_Vis_11,VIS,0.4920472160301466
11,7Networks_LH_Vis_12,VIS,0.2372998698238152
12,7Networks_LH_Vis_13,VIS,0.16095807487303315
13,7Networks_LH_Vis_14,VIS,0.2063008248016767
14,7Networks_LH_SomMot_1,SOM,0.20612330474767848
15,7Networks_LH_SomMot_2,SOM,0.4613701855101341
16,7Networks_LH_SomMot_3,SOM,0.6242482025473954
17,7Networks_LH_SomMot_4,SOM,0.6965793612397702
18,7Networks_LH_SomMot_5,SOM,0.5191367283422138
19,7Networks_LH_SomMot_6,SOM,0.37747080588901016
20,7Networks_LH_SomMot_7,SOM,-0.027479836670055185
21,7Networks_LH_SomMot_8,SOM,0.37219459492301027
22,7Networks_LH_SomMot_9,SOM,0.06509603942942883
23,7Networks_LH_SomMot_10,SOM,0.2790731690614714
24,7Networks_LH_SomMot_11,SOM,-0.1224711253738728
25,7Networks_LH_SomMot_12,SOM,0.05851225957126795
26,7Networks_LH_SomMot_13,SOM,0.01404649562765221
27,7Networks_LH_SomMot_14,SOM,-0.07671048044797028
28,7Networks_LH_SomMot_15,SOM,-0.45384851432753953
29,7Networks_LH_SomMot_16,SOM,-0.3757213550019423
30,7Networks_LH_DorsAttn_Post_1,DAN,0.1160980574346572
31,7Networks_LH_DorsAttn_Post_2,DAN,0.1362510658082163
32,7Networks_LH_DorsAttn_Post_3,DAN,0.1015858524779073
33,7Networks_LH_DorsAttn_Post_4,DAN,0.11049106667014136
34,7Networks_LH_DorsAttn_Post_5,DAN,-0.2748007627535573
35,7Networks_LH_DorsAttn_Post_6,DAN,-0.3251097028124696
36,7Networks_LH_DorsAttn_Post_7,DAN,-0.12094928053970631
37,7Networks_LH_DorsAttn_Post_8,DAN,-0.14958578591802627
38,7Networks_LH_DorsAttn_Post_9,DAN,0.015084637788644576
39,7Networks_LH_DorsAttn_Post_10,DAN,-0.14756529130285756
40,7Networks_LH_DorsAttn_FEF_1,DAN,-0.14181385881210906
41,7Networks_LH_DorsAttn_FEF_2,DAN,0.035656954660588394
42,7Networks_LH_DorsAttn_PrCv_1,DAN,0.0068186696601214725
43,7Networks_LH_SalVentAttn_ParOper_1,SAL,-0.2604435323336871
44,7Networks_LH_SalVentAttn_ParOper_2,SAL,0.255017167631809
45,7Networks_LH_SalVentAttn_ParOper_3,SAL,-0.6737137990020602
46,7Networks_LH_SalVentAttn_FrOperIns_1,SAL,0.44614171744911746
47,7Networks_LH_SalVentAttn_FrOperIns_2,SAL,-0.06169211366897492
48,7Networks_LH_SalVentAttn_FrOperIns_3,SAL,0.5638771002136311
49,7Networks_LH_SalVentAttn_FrOperIns_4,SAL,0.24040602994422736
50,7Networks_LH_SalVentAttn_PFCl_1,SAL,-0.278977832785444
51,7Networks_LH_SalVentAttn_Med_1,SAL,0.16318945663753073
52,7Networks_LH_SalVentAttn_Med_2,SAL,-0.1340276655452486
53,7Networks_LH_SalVentAttn_Med_3,SAL,-0.3196792800098465
54,7Networks_LH_Limbic_OFC_1,LIM,0.2553696476168194
55,7Networks_LH_Limbic_OFC_2,LIM,-0.0717768040260617
56,7Networks_LH_Limbic_TempPole_1,LIM,-0.7419742528310451
57,7Networks_LH_Limbic_TempPole_2,LIM,-0.21499140297957156
58,7Networks_LH_Limbic_TempPole_3,LIM,-0.55450997913806
59,7Networks_LH_Limbic_TempPole_4,LIM,-0.11830497382962411
60,7Networks_LH_Cont_Par_1,FPN,0.24474237662920423
61,7Networks_LH_Cont_Par_2,FPN,0.07576829085985472
62,7Networks_LH_Cont_Par_3,FPN,-0.3164971196386212
63,7Networks_LH_Cont_Temp_1,FPN,-0.3510004156940012
64,7Networks_LH_Cont_OFC_1,FPN,-0.3110587575384367
65,7Networks_LH_Cont_PFCl_1,FPN,0.10408555411000166
66,7Networks_LH_Cont_PFCl_2,FPN,-0.3303446868029986
67,7Networks_LH_Cont_PFCl_3,FPN,-0.4761282862005808
68,7Networks_LH_Cont_PFCl_4,FPN,0.09249591180910581
69,7Networks_LH_Cont_PFCl_5,FPN,-0.13101948778225908
70,7Networks_LH_Cont_pCun_1,FPN,0.19444264783795984
71,7Networks_LH_Cont_Cing_1,FPN,0.026736134476895223
72,7Networks_LH_Cont_Cing_2,FPN,0.2589940385279031
73,7Networks_LH_Default_Temp_1,DMN,-0.49396427195280784
74,7Networks_LH_Default_Temp_2,DMN,-0.433382544364836
75,7Networks_LH_Default_Temp_3,DMN,0.05464970445867171
76,7Networks_LH_Default_Temp_4,DMN,-0.3796449409380741
77,7Networks_LH_Default_Temp_5,DMN,-0.008666350246654545
78,7Networks_LH_Default_Par_1,DMN,0.2949260703492681
79,7Networks_LH_Default_Par_2,DMN,-0.09061890987908848
80,7Networks_LH_Default_Par_3,DMN,0.2090559065372167
81,7Networks_LH_Default_Par_4,DMN,0.14967938650351006
82,7Networks_LH_Default_PFC_1,DMN,0.10497701042639336
83,7Networks_LH_Default_PFC_2,DMN,-0.10962075735809454
84,7Networks_LH_Default_PFC_3,DMN,-0.4275725813318917
85,7Networks_LH_Default_PFC_4,DMN,0.28669810119680067
86,7Networks_LH_Default_PFC_5,DMN,-0.416414647079876
87,7Networks_LH_Default_PFC_6,DMN,-0.0688462891009626
88,7Networks_LH_Default_PFC_7,DMN,-0.08170397466339441
89,7Networks_LH_Default_PFC_8,DMN,0.09783616296814993
90,7Networks_LH_Default_PFC_9,DMN,0.1460851631908277
91,7Networks_LH_Default_PFC_10,DMN,-0.3257468444635976
92,7Networks_LH_Default_PFC_11,DMN,0.5473254041362954
